,Date,wind_speed,FIPS_NAME_x,FPA_ID,FIRE_CODE,FIRE_NAME,FIRE_YEAR,DISCOVERY_TIME,STAT_CAUSE_CODE,STAT_CAUSE_DESCR,date(CONT_DATE),FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,FIPS_CODE,FIPS_NAME_y,STATE,tmax,tmin,Precip,average
255,2003-05-20,5.1,Imperial,,,,,,,,,,,,,,,,,,,
256,2003-05-20,5.1,Imperial,,,,,,,,,,,,,,,,,,,
257,2003-05-21,6.0,Imperial,,,,,,,,,,,,,,,,,,,
258,2003-05-21,5.6,Imperial,,,,,,,,,,,,,,,,,,,
259,2003-05-22,7.4,Imperial,,,,,,,,,,,,,,,,,,,
260,2003-05-22,5.4,Imperial,,,,,,,,,,,,,,,,,,,
261,2003-05-23,4.3,Imperial,,,,,,,,,,,,,,,,,,,
262,2003-05-23,4.0,Imperial,,,,,,,,,,,,,,,,,,,
263,2003-05-24,7.6,Imperial,,,,,,,,,,,,,,,,,,,
264,2003-05-25,7.4,Imperial,,,,,,,,,,,,,,,,,,,
265,2003-05-26,3.8,Imperial,,,,,,,,,,,,,,,,,,,
266,2003-05-27,3.8,Imperial,,,,,,,,,,,,,,,,,,,
267,2003-05-27,5.6,Imperial,,,,,,,,,,,,,,,,,,,
268,2003-05-28,7.2,Imperial,,,,,,,,,,,,,,,,,,,
269,2003-05-28,5.4,Imperial,,,,,,,,,,,,,,,,,,,
270,2003-05-29,8.9,Imperial,,,,,,,,,,,,,,,,,,,
271,2003-05-29,5.1,Imperial,,,,,,,,,,,,,,,,,,,
272,2003-05-30,6.9,Imperial,,,,,,,,,,,,,,,,,,,
273,2003-05-30,3.1,Imperial,,,,,,,,,,,,,,,,,,,
274,2003-05-31,8.3,Imperial,,,,,,,,,,,,,,,,,,,
275,2003-05-31,4.7,Imperial,,,,,,,,,,,,,,,,,,,
276,2003-06-01,5.1,Imperial,,,,,,,,,,,,,,,,,,,
277,2003-06-02,8.3,Imperial,,,,,,,,,,,,,,,,,,,
278,2003-06-02,6.5,Imperial,,,,,,,,,,,,,,,,,,,
279,2003-06-03,7.8,Imperial,,,,,,,,,,,,,,,,,,,
280,2003-06-03,4.7,Imperial,,,,,,,,,,,,,,,,,,,
281,2003-06-04,6.9,Imperial,,,,,,,,,,,,,,,,,,,
282,2003-06-04,5.8,Imperial,,,,,,,,,,,,,,,,,,,
283,2003-06-05,5.4,Imperial,,,,,,,,,,,,,,,,,,,
284,2003-06-05,3.6,Imperial,,,,,,,,,,,,,,,,,,,
285,2003-06-06,6.9,Imperial,,,,,,,,,,,,,,,,,,,
286,2003-06-06,5.6,Imperial,,,,,,,,,,,,,,,,,,,
287,2003-06-07,6.0,Imperial,,,,,,,,,,,,,,,,,,,
288,2003-06-07,3.8,Imperial,,,,,,,,,,,,,,,,,,,
289,2003-06-08,9.6,Imperial,,,,,,,,,,,,,,,,,,,
290,2003-06-09,12.8,Imperial,,,,,,,,,,,,,,,,,,,
291,2003-06-09,9.8,Imperial,,,,,,,,,,,,,,,,,,,
292,2003-06-10,5.4,Imperial,,,,,,,,,,,,,,,,,,,
293,2003-06-10,5.8,Imperial,,,,,,,,,,,,,,,,,,,
294,2003-06-11,12.1,Imperial,,,,,,,,,,,,,,,,,,,
295,2003-06-11,13.4,Imperial,,,,,,,,,,,,,,,,,,,
296,2003-06-12,11.0,Imperial,,,,,,,,,,,,,,,,,,,
297,2003-06-12,11.6,Imperial,,,,,,,,,,,,,,,,,,,
298,2003-06-13,5.8,Imperial,,,,,,,,,,,,,,,,,,,
299,2003-06-13,4.7,Imperial,,,,,,,,,,,,,,,,,,,
300,2003-06-14,5.1,Imperial,,,,,,,,,,,,,,,,,,,
301,2003-06-14,3.8,Imperial,,,,,,,,,,,,,,,,,,,
302,2003-06-15,7.6,Imperial,,,,,,,,,,,,,,,,,,,
303,2003-06-16,6.5,Imperial,,,,,,,,,,,,,,,,,,,
304,2003-06-16,4.9,Imperial,,,,,,,,,,,,,,,,,,,
305,2003-06-17,4.9,Imperial,,,,,,,,,,,,,,,,,,,
306,2003-06-17,3.4,Imperial,,,,,,,,,,,,,,,,,,,
307,2003-06-18,7.6,Imperial,,,,,,,,,,,,,,,,,,,
308,2003-06-18,5.4,Imperial,,,,,,,,,,,,,,,,,,,
309,2003-06-19,11.4,Imperial,,,,,,,,,,,,,,,,,,,
310,2003-06-19,10.1,Imperial,,,,,,,,,,,,,,,,,,,
311,2003-06-20,12.3,Imperial,,,,,,,,,,,,,,,,,,,
312,2003-06-20,14.5,Imperial,,,,,,,,,,,,,,,,,,,
313,2003-06-21,8.1,Imperial,,,,,,,,,,,,,,,,,,,
314,2003-06-21,3.4,Imperial,,,,,,,,,,,,,,,,,,,
315,2003-06-22,10.3,Imperial,,,,,,,,,,,,,,,,,,,
316,2003-06-23,13.9,Imperial,,,,,,,,,,,,,,,,,,,
317,2003-06-23,14.5,Imperial,,,,,,,,,,,,,,,,,,,
318,2003-06-24,6.9,Imperial,,,,,,,,,,,,,,,,,,,
319,2003-06-24,4.9,Imperial,,,,,,,,,,,,,,,,,,,
320,2003-06-25,4.9,Imperial,,,,,,,,,,,,,,,,,,,
321,2003-06-25,4.0,Imperial,,,,,,,,,,,,,,,,,,,
322,2003-06-26,5.8,Imperial,,,,,,,,,,,,,,,,,,,
323,2003-06-26,4.9,Imperial,,,,,,,,,,,,,,,,,,,
324,2003-06-27,7.8,Imperial,,,,,,,,,,,,,,,,,,,
325,2003-06-27,6.7,Imperial,,,,,,,,,,,,,,,,,,,
326,2003-06-28,7.2,Imperial,,,,,,,,,,,,,,,,,,,
327,2003-06-28,6.7,Imperial,,,,,,,,,,,,,,,,,,,
328,2003-06-29,8.5,Imperial,,,,,,,,,,,,,,,,,,,
329,2003-06-30,8.5,Imperial,,,,,,,,,,,,,,,,,,,
330,2003-06-30,6.7,Imperial,,,,,,,,,,,,,,,,,,,
331,2003-07-01,7.2,Imperial,,,,,,,,,,,,,,,,,,,
332,2003-07-02,7.2,Imperial,,,,,,,,,,,,,,,,,,,
333,2003-07-03,9.8,Imperial,,,,,,,,,,,,,,,,,,,
334,2003-07-04,6.5,Imperial,,,,,,,,,,,,,,,,,,,
335,2003-07-05,7.6,Imperial,,,,,,,,,,,,,,,,,,,
